team,team_name,division,gender,competition,region,conference,id
Lawrence,Lawrence University Men's Ultimate,College,Men,Division III,North Central,North Central DIII,1724
Texas A&M Commerce,,College,Men,Division I,South Central,North Texas DI,1725
Lewis & Clark B,,College,Men,Division III,Northwest,Northwest D-III,1726
Youngstown State,Aperture Ultimate,College,Men,Division I,Ohio Valley,Ohio D-I,1727
Toronto,,College,Men,Division I,Metro East,Western NY DI,1728
Guelph,,College,Men,Division I,Metro East,Western NY DI,1729
Princeton B,,College,Women,Developmental,Metro East,Metro East Dev,1730
Rhodes,Rhodekill,College,Women,Division III,Southeast,Southeast D-III,1731
Eastern Illinois,Reaper,College,Women,Division I,Great Lakes,Illinois D-I,1732
Toledo,Savage,College,Women,Division I,Ohio Valley,Ohio D-I,1733
Wooster B,,College,Women,Division III,Ohio Valley,Ohio D-III,1734
Santa Clara B,,College,Women,Developmental,Southwest,Southwest Dev,1735
California-Santa Barbara B,,College,Women,Developmental,Southwest,Southwest Dev,1736
Pacific,,College,Men,Division III,Northwest,Northwest DIII,1737
Texas A&M Galveston,,College,Men,,,,1738
Armstrong State,,College,Men,Division III,Southeast,Eastern Southeast DIII,1739
Reed,Berserk,College,Women,Division III,Northwest,Northwest DIII,1740
Assumption College,,College,Men,,,,1741
Lewis,,College,Men,,,,1742
Muhlenberg College,,College,Men,Division III,Ohio Valley,Ohio Valley DIII,1743
Memphis,,College,Men,Division I,Southeast,Gulf Coast DI,1744
Carleton College - D3,,College,Men,Division III,North Central,North Central DIII,1745
San Francisco State,Fog Ultimate,College,Men,Division I,Southwest,NorCal D-I,1746
Cal Poly-Pomona B,,College,Men,Developmental,Southwest,Southwest Dev,1747
SUNY-Geneseo B,,College,Men,Division III,Metro East,Western NY DIII,1748
Penn State Altoona,,College,Men,Division III,Ohio Valley,West Penn DIII,1749
Amherst B,,College,Women,Developmental,New England,South New England Dev,1750
Toronto,,College,Women,Division I,Metro East,Western NY DI,1751
